name,CAGR,AnnualVol,Sharpe,MaxDrawdown,TotalReturn,Type
VV,0.1485023156629286,0.1834473812294164,0.7943266933117588,-0.342791103207226,2.9848619017288605,Ticker
SPY,0.1480577612197227,0.1809346633369899,0.8006193962234678,-0.3371723931798589,2.969487549935272,Ticker
GLD,0.11893832708868057,0.14466642655239886,0.7821005171251797,-0.22002168134715608,2.0713306129440867,Ticker
VBR,0.09915117557459574,0.21867661162596302,0.4977369423902792,-0.4527523044404744,1.5701355996366613,Ticker
60_40,0.09890158335856403,0.1117244260476716,0.8128152931286855,-0.20910302254896457,1.5643141360443948,Portfolio
Golden_Butterfly,0.08352026346916674,0.08674681870234692,0.8552336431847861,-0.1884321280515933,1.2276440369060224,Portfolio
Permanent,0.0751942210179053,0.0716646868534736,0.9105900929593496,-0.17514277338644282,1.0625053268368303,Portfolio
All_Weather,0.06330307182751715,0.08727945159306844,0.6341626452543946,-0.23525330203139563,0.8457347056793756,Portfolio
DBC,0.05482114490823364,0.1767119632603683,0.33496921861741674,-0.4171107486016526,0.7038809197798648,Ticker
BIL,0.019230486935858826,0.0026314606627677313,3.4578488104517304,-0.002085017936138839,0.20948222288462204,Ticker
AGG,0.018873032260297906,0.05379816423056106,0.18948851106322506,-0.18432964201829,0.20525349782902413,Ticker
SHY,0.015532345410710136,0.015551871073767648,0.3583071343830837,-0.057070746454908616,0.16637125922759122,Ticker
IEF,0.011413072887593634,0.06674863977060351,0.05397021818793979,-0.23924777184473203,0.11998295270919068,Ticker
TLT,-0.004155201130586983,0.1508684198677892,-0.0185735981579402,-0.4835114419803302,-0.04072345689961965,Ticker
